Area,Component/File,Control Label,Control Type,Current Behavior,Expected Live Behavior,Backend/API/Route Needed,Auth/Role Needed,Status,Notes
Authentication,ui/auth/LoginScreen.kt,SIGN IN,Form submit,Calls production login and persists a registered device session,Authenticate a Sales Access user and sync assigned CRM data,POST /api/callflow/auth/login and POST /api/callflow/devices/register,Sales user,Done,401 and network failures are converted to human-readable messages
Home,ui/CallFlowApp.kt,Today's calls,KPI card,Navigates to call history,Navigate to live call history with today's range,Local Room plus sync API,Sales user,Done,
Home,ui/CallFlowApp.kt,Connected,KPI card,Navigates to connected-call history,Navigate with Connected filter already applied,Local Room plus sync API,Sales user,Done,
Home,ui/CallFlowApp.kt,Follow-ups,KPI card,Navigates to follow-up queue,Navigate to actionable follow-ups,Local Room plus sync API,Sales user,Done,
Home,ui/CallFlowApp.kt,Leads,Button,Navigates to assigned leads,Show only dashboard-assigned leads,GET /api/callflow/sync/changes,Sales user,Done,Normal builds no longer enable fake backend
Calls,ui/calling/CallingScreens.kt,Dial number,Button,Opens the in-app call preparation flow,Place a real outgoing call and track final telephony state,Android Telecom plus POST /api/callflow/sync/batch,Sales user and phone role,Done,Requires user-granted default Phone role
Calls,ui/calling/CallingScreens.kt,All / Connected / Missed / Not connected,Filters,Filters persisted local call history,Separate incoming missed from failed outgoing calls,Local Room call state,Sales user,Done,
Calls,ui/operations/CallDetailsScreen.kt,Call record,List action,Opens duration SIM direction and linked lead details,Show auditable call facts from device and CRM,Local Room plus POST /api/callflow/sync/batch,Sales user,Done,
Leads,ui/leads/LeadScreens.kt,Search,Text input,Searches assigned leads by name company city and phone,Find large lead sets quickly,Local Room populated by GET /api/callflow/sync/changes,Sales user,Done,
Leads,ui/leads/LeadScreens.kt,Date range,Filter,Filters leads by updated date,Support custom start and end dates,Local Room lead updatedAt,Sales user,Done,
Leads,ui/leads/LeadScreens.kt,Advanced filters,Dialog,Filters by stage age score source quality city campaign and duplicates,Support bulk lead discovery without demo data,Local Room lead metadata,Sales user,Done,
Leads,ui/leads/LeadScreens.kt,Call,Icon button,Starts calling the selected assigned lead,Call directly from lead card,Android Telecom plus sync API,Sales user and phone role,Done,Blocked when lead is marked do-not-call
Lead detail,ui/leads/LeadScreens.kt,CALL NOW,Button,Starts call preparation for selected lead,Track the call against the CRM lead,Android Telecom plus POST /api/callflow/sync/batch,Sales user and phone role,Done,
Lead detail,ui/leads/LeadScreens.kt,WhatsApp,Button,Opens WhatsApp with live configured message,Start contextual WhatsApp follow-up,GET /api/callflow/engagement/config,Sales user,Done,External WhatsApp availability depends on device
Post-call,ui/calling/CallingScreens.kt,SAVE & NEXT,Form submit,Saves outcome note disposition and optional callback then moves to next lead,Persist once and synchronize to dashboard,POST /api/callflow/sync/batch,Sales user,Done,Duplicate submit is disabled while saving
Post-call,ui/calling/CallingScreens.kt,SAVE & WHATSAPP,Form submit,Saves the live record then opens WhatsApp,Persist before external navigation,POST /api/callflow/sync/batch and WhatsApp intent,Sales user,Done,
Follow-ups,ui/operations/OperationsScreens.kt,Done / Edit / Call,Row actions,Updates or acts on real follow-up records,Manage dashboard-synchronized follow-ups,POST /api/callflow/sync/batch,Sales user,Done,
Reports,ui/operations/OperationsScreens.kt,Report tabs and filters,Filters,Builds date status lead call and shift reports from real local-synced data,Analyze salesperson activity without placeholder metrics,Local Room plus dashboard metrics,Sales user,Done,
Reports,ui/operations/OperationsScreens.kt,CSV export,Button,Generates and shares a CSV file,Export the selected live report data,Android share sheet,Sales user,Done,
Settings,ui/operations/OperationsScreens.kt,SYNC NOW,Button,Retries pending and failed outbox items and downloads deltas,Synchronize data bidirectionally with cursor continuity,POST /api/callflow/sync/batch and GET /api/callflow/sync/changes,Sales user,Done,Uses registered session device ID
Settings,ui/operations/OperationsScreens.kt,END SHIFT / RESUME ASSIGNMENTS,Button,Updates lead-assignment availability with optional captured location,Pause or resume dashboard auto-assignment,GET and POST /api/callflow/availability,Sales user,Done,Location requires user permission
Location,ui/operations/OperationsScreens.kt,Check in,Button,Saves a follow-up location check-in,Provide dashboard-visible field visit evidence,POST /api/callflow/location/check-in,Sales user,Done,Location requires user permission
Phone setup,ui/operations/OperationsScreens.kt,SET AS DEFAULT PHONE,Button,Opens the Android role request,Enable direct calling and reliable call lifecycle capture,Android RoleManager and Telecom,Sales user and explicit OS consent,Done,QA did not approve the broad Android 17 role prompt
Sync,data/repository/OutboxSyncRepository.kt,Automatic sync,Background action,Uploads outbox then downloads changes using saved cursor,Maintain durable idempotent offline-first sync,POST /api/callflow/sync/batch and GET /api/callflow/sync/changes,Authenticated registered device,Done,
Dashboard,CFLdashboard-source/app/api/callflow/sync/batch/route.ts,Unmatched call linking,API action,Links a call only to a lead assigned to the authenticated salesperson,Prevent cross-salesperson lead attribution,POST /api/callflow/sync/batch,Authenticated Sales Access user,Done,
